id,number_of_points,year,month,is_operational,municipality,region,country,latitude,longitude,rejection_reason,fetch_timestamp
484563,,2026,4,True,Rovaniemi,Lapland,Finland,66.518767,25.809857,,2026-06-30 07:14:05.354549+00:00
484562,,2026,4,True,Rovaniemi,Lapland,Finland,66.517428,25.757289,,2026-06-30 07:14:05.354549+00:00
484561,,2026,4,True,Rovaniemi,Lapland,Finland,66.510498,25.7879009,,2026-06-30 07:14:05.354549+00:00
484560,,2026,4,True,Rovaniemi,Lapland,Finland,66.508125,25.699918,,2026-06-30 07:14:05.354549+00:00
484559,,2026,4,True,Rovaniemi,Lapland,Finland,66.504474,25.716379,,2026-06-30 07:14:05.354549+00:00
484558,,2026,4,True,Rovaniemi,Lapland,Finland,66.503784,25.670028,,2026-06-30 07:14:05.354549+00:00
484557,,2026,4,True,Rovaniemi,Lapland,Finland,66.5028,25.7325993,,2026-06-30 07:14:05.354549+00:00
484556,,2026,4,True,Rovaniemi,Lapland,Finland,66.5025864,25.736763,,2026-06-30 07:14:05.354549+00:00
484555,,2026,4,True,Rovaniemi,Lapland,Finland,66.5024033,25.7257996,,2026-06-30 07:14:05.354549+00:00
484554,,2026,4,True,Rovaniemi,Lapland,Finland,66.5018005,25.7880001,,2026-06-30 07:14:05.354549+00:00
484553,,2026,4,True,Rovaniemi,Lapland,Finland,66.501297,25.7292995,,2026-06-30 07:14:05.354549+00:00
484552,,2026,4,True,Rovaniemi,Lapland,Finland,66.501275,25.714011,,2026-06-30 07:14:05.354549+00:00
484551,,2026,4,True,Rovaniemi,Lapland,Finland,66.501067,25.722728,,2026-06-30 07:14:05.354549+00:00
484550,,2026,4,True,Rovaniemi,Lapland,Finland,66.4982946,25.7292281,,2026-06-30 07:14:05.354549+00:00
484549,,2026,4,True,Rovaniemi,Lapland,Finland,66.498111,25.716999,,2026-06-30 07:14:05.354549+00:00
484548,,2026,4,True,Rovaniemi,Lapland,Finland,66.496733,25.720072,,2026-06-30 07:14:05.354549+00:00
484547,,2026,4,True,Rovaniemi,Lapland,Finland,66.496156,25.753219,,2026-06-30 07:14:05.354549+00:00
484546,,2026,4,True,Rovaniemi,Lapland,Finland,66.495736,25.750955,,2026-06-30 07:14:05.354549+00:00
