country,year,month,region,number_of_new_registrations,driving_power,fetch_timestamp
Sweden,2022,12,Stockholm,715,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,1,Stockholm,539,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,2,Stockholm,634,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,3,Stockholm,873,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,4,Stockholm,831,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,5,Stockholm,892,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,6,Stockholm,736,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,7,Stockholm,448,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,8,Stockholm,491,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,9,Stockholm,639,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,10,Stockholm,589,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,11,Stockholm,495,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2023,12,Stockholm,599,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,1,Stockholm,551,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,2,Stockholm,440,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,3,Stockholm,413,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,4,Stockholm,438,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,5,Stockholm,557,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,6,Stockholm,475,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,7,Stockholm,365,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,8,Stockholm,456,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,9,Stockholm,372,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,10,Stockholm,455,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,11,Stockholm,480,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2024,12,Stockholm,486,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,1,Stockholm,326,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,2,Stockholm,358,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,3,Stockholm,472,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,4,Stockholm,487,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,5,Stockholm,433,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,6,Stockholm,450,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,7,Stockholm,384,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,8,Stockholm,515,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,9,Stockholm,426,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,10,Stockholm,551,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,11,Stockholm,449,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2025,12,Stockholm,369,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2026,1,Stockholm,260,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2026,2,Stockholm,404,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2026,3,Stockholm,390,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2026,4,Stockholm,477,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2026,5,Stockholm,432,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,1,Stockholm,35,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,2,Stockholm,52,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,3,Stockholm,142,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,4,Stockholm,74,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,5,Stockholm,60,electricity,2026-06-30 07:14:11.597982+00:00
